"ID1,N,4,0","HHID,C,15","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","QH91,N,1,0","QH93,N,1,0","QH95,N,1,0","QH96,N,2,0","QH96A,N,2,0","QH96M,N,2,0","QH96AC,N,1,0","QH97D,N,2,0","QH97M,N,2,0","QH97A,N,4,0","QH99,N,1,0","QH101,N,1,0","QH103,N,1,0","QH106,N,1,0","QHVIOLEN,N,2,0"
2019,      002714201,27,142,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      002716501,27,165,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002718101,27,181,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      002801201,28,12,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002803201,28,32,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002804301,28,43,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002804401,28,44,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,6
2019,      002804501,28,45,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      002805101,28,51,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002805701,28,57,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      002805901,28,59,1,2,2,2,0,0,0,0,0,0,0,0,1,2,0,2
2019,      002807901,28,79,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002809901,28,99,1,0,2,2,0,0,0,0,0,0,0,2,2,2,2,3
2019,      002903201,29,32,1,2,2,1,2,11,2,2,0,0,0,0,1,2,2,2
2019,      002903301,29,33,1,2,2,1,2,10,0,2,0,0,0,0,2,2,0,4
2019,      002903401,29,34,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      002903501,29,35,1,2,2,1,2,0,11,2,0,0,0,0,1,2,2,2
2019,      002903601,29,36,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      002904201,29,42,1,0,2,1,2,6,0,2,0,0,0,0,2,2,0,2
2019,      002904301,29,43,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002904401,29,44,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      002904501,29,45,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      002904601,29,46,1,0,2,1,2,2,0,2,0,0,0,0,2,2,0,2
2019,      002905701,29,57,1,0,2,1,2,8,4,2,0,0,0,0,2,2,2,2
2019,      002905801,29,58,1,0,2,1,1,10,6,2,0,0,0,0,2,2,2,1
2019,      002905901,29,59,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0
