,PS_PENSION65-ID1-anho,PS_PENSION65-HHID-identificacion_cuestionario_del_hogar,PS_PENSION65-HVIDX-numero_de_orden_en_el_hogar,PS_PENSION65-QHCLUSTER-conglomerado,PS_PENSION65-QHNUMBER-vivienda_seleccionada,PS_PENSION65-QHHOME-hogar_seleccionado,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario,PS_PENSION65-PS3-numero_de_orden,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario_LABEL
382,2019,32606301,2,326,63,1,4,0,2,2,4,0,No
383,2019,32606601,1,326,66,1,4,4,2,1,4,4,No
384,2019,32709901,1,327,99,1,2,2,1,1,2,2,Si
385,2019,32709901,2,327,99,1,2,5,2,2,2,5,No
386,2019,32803601,1,328,36,1,3,98,2,1,3,No sabe,No
387,2019,32803801,1,328,38,1,2,1,2,1,2,1,No
388,2019,32803901,8,328,39,1,2,6,2,1,2,6,No
389,2019,32807701,1,328,77,1,2,2,1,1,2,2,Si
390,2019,32807701,2,328,77,1,1,8,2,2,1,8,No
391,2019,32903301,1,329,33,1,4,0,1,1,4,0,Si
392,2019,32903301,2,329,33,1,1,0,2,2,1,0,No
393,2019,32905101,1,329,51,1,0,3,2,1,0,3,No
394,2019,32905401,1,329,54,1,3,98,2,1,3,No sabe,No
395,2019,32905501,1,329,55,1,0,6,1,1,0,6,Si
396,2019,32905501,2,329,55,1,0,4,2,2,0,4,No
397,2019,32910701,1,329,107,1,3,6,2,1,3,6,No
398,2019,32910901,1,329,109,1,8,98,1,1,8,No sabe,Si
399,2019,32910901,2,329,109,1,8,98,2,2,8,No sabe,No
400,2019,33000801,1,330,8,1,3,0,2,1,3,0,No
401,2019,33007901,1,330,79,1,1,1,2,1,1,1,No
402,2019,33008301,1,330,83,1,1,2,2,1,1,2,No
403,2019,33105701,1,331,57,1,0,3,2,1,0,3,No
404,2019,33107101,1,331,71,1,0,3,1,1,0,3,Si
405,2019,33107101,2,331,71,1,0,2,2,2,0,2,No
406,2019,33201601,1,332,16,1,4,10,1,1,4,10,Si
407,2019,33201601,2,332,16,1,4,7,2,2,4,7,No
408,2019,33504301,1,335,43,1,3,0,1,1,3,0,Si
409,2019,33504301,2,335,43,1,5,0,2,2,5,0,No
410,2019,33504401,1,335,44,1,2,98,2,1,2,No sabe,No
411,2019,33504601,1,335,46,1,0,5,2,1,0,5,No
412,2019,33601401,1,336,14,1,3,0,2,1,3,0,No
413,2019,33606701,1,336,67,1,6,0,2,1,6,0,No
414,2019,33606801,1,336,68,1,3,0,2,1,3,0,No
415,2019,33609001,1,336,90,1,2,0,1,1,2,0,Si
416,2019,33609001,2,336,90,1,2,0,2,2,2,0,No
417,2019,33609101,1,336,91,1,1,1,2,1,1,1,No
418,2019,33609201,1,336,92,1,1,0,2,1,1,0,No
419,2019,33700801,1,337,8,1,3,98,2,1,3,No sabe,No
420,2019,33707101,1,337,71,1,6,0,2,1,6,0,No
421,2019,33807601,1,338,76,1,3,0,2,1,3,0,No
422,2019,33807901,1,338,79,1,1,0,1,1,1,0,Si
423,2019,33807901,2,338,79,1,3,0,2,2,3,0,No
424,2019,34101401,1,341,14,1,3,6,2,1,3,6,No
425,2019,34205201,1,342,52,1,3,0,1,1,3,0,Si
426,2019,34205201,2,342,52,1,3,0,2,2,3,0,No
427,2019,34208701,1,342,87,1,2,98,2,1,2,No sabe,No
428,2019,34300101,2,343,1,1,1,1,2,1,1,1,No
429,2019,34304901,1,343,49,1,0,6,2,1,0,6,No
430,2019,34309701,1,343,97,1,0,2,2,1,0,2,No
431,2019,34701501,1,347,15,1,98,98,2,1,No sabe,No sabe,No
432,2019,34706301,1,347,63,1,0,4,2,1,0,4,No
433,2019,34707701,1,347,77,1,5,4,1,1,5,4,Si
434,2019,34707701,2,347,77,1,5,4,2,2,5,4,No
435,2019,34803101,2,348,31,1,1,0,2,1,1,0,No
436,2019,35006201,1,350,62,1,1,98,2,1,1,No sabe,No
437,2019,35006501,1,350,65,1,5,0,2,1,5,0,No
438,2019,35213701,2,352,137,1,2,10,2,1,2,10,No
439,2019,37201701,4,372,17,1,2,10,2,1,2,10,No
440,2019,37204201,10,372,42,1,3,6,2,1,3,6,No
441,2019,37406301,5,374,63,1,5,0,2,1,5,0,No
442,2019,37508901,1,375,89,1,3,0,2,1,3,0,No
443,2019,38614301,1,386,143,1,98,5,2,1,No sabe,5,No
444,2019,41516901,10,415,169,1,3,4,2,1,3,4,No
445,2019,42006201,3,420,62,1,6,98,2,1,6,No sabe,No
446,2019,43302401,2,433,24,1,0,5,2,1,0,5,No
447,2019,43505901,1,435,59,1,2,0,2,1,2,0,No
448,2019,43700101,1,437,1,1,4,0,1,1,4,0,Si
