qhcluster,qhnumber,qhhome,ps107_1a,ps107_1m,ps107_1s,ps6,hvidx,hhid
1728,44,1,2,0.0,,1,3,      172804401
1728,96,1,0,9.0,si,1,5,      172809601
1728,96,1,0,6.0,,2,6,      172809601
1728,110,1,1,0.0,,1,3,      172811001
1732,57,1,0,1.0,,1,7,      173205701
1732,68,1,1,0.0,,1,3,      173206801
1733,46,1,2,5.0,,1,2,      173304601
1733,47,1,1,0.0,,1,3,      173304701
1733,49,1,1,2.0,no,1,4,      173304901
1733,56,1,0,8.0,,1,3,      173305601
1733,59,1,0,5.0,,1,8,      173305901
1733,81,1,0,6.0,,1,3,      173308101
1733,83,1,0,9.0,,1,4,      173308301
1734,165,1,1,3.0,si,1,3,      173416501
1734,165,1,0,3.0,,2,4,      173416501
1735,24,1,1,0.0,,1,4,      173502401
1735,89,1,1,2.0,,1,4,      173508901
1736,25,1,0,11.0,,1,13,      173602501
1736,29,1,1,6.0,,1,6,      173602901
1738,209,1,0,3.0,,1,4,      173820901
1738,213,1,1,0.0,,1,6,      173821301
1739,10,1,1,0.0,,1,4,      173901001
1739,36,1,0,0.0,,1,4,      173903601
1739,38,1,0,5.0,,1,3,      173903801
1739,40,1,1,8.0,,1,3,      173904001
1739,43,1,0,6.0,,1,4,      173904301
1740,115,1,0,1.0,,1,4,      174011501
1745,2,1,2,2.0,,1,6,      174500201
1745,25,1,0,6.0,,1,4,      174502501
1745,63,1,0,6.0,,1,3,      174506301
1747,86,1,0,1.0,,1,6,      174708601
1748,52,1,0,8.0,,1,3,      174805201
1748,53,1,0,4.0,,1,3,      174805301
1748,74,1,0,7.0,,1,3,      174807401
1751,83,1,0,3.0,,1,3,      175108301
1758,83,1,0,4.0,,1,6,      175808301
1761,84,1,1,6.0,,1,3,      176108401
1775,85,1,0,8.0,,1,5,      177508501
1794,13,1,0,9.0,,1,6,      179401301
1794,62,1,1,0.0,,1,3,      179406201
1794,63,1,1,4.0,,1,3,      179406301
1815,95,1,0,6.0,,1,4,      181509501
1815,100,1,0,0.0,,1,5,      181510001
1818,13,1,0,2.0,,1,3,      181801301
1821,20,1,1,10.0,,1,4,      182102001
